Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2012,2,,81,21,Y,"$860,000",Chase De Jong (minors),RHP,-0.1,11.0,12.0,0.0,0.083,0.25,72.0,8.0,12.0,5.42,1.46,1.0,HS,"Woodrow Wilson HS (Long Beach, CA)",2
2011,2,,74,14,Y,"$2,000,000",*Daniel Norris (minors),LHP,5.2,27.0,14.0,1.0,0.143,0.607,215.0,22.0,38.0,4.73,1.4,1.0,HS,"Science Hill HS (Johnson City, TN)",2
2011,2,,78,18,Y,"$575,000",Jeremy Gabryszwski (minors),RHP,,,,,,,,,,,,,HS,"Crosby HS (Crosby, TX)",2
2010,2,,61,11,Y,"$800,000",Griffin Murphy (minors),LHP,,,,,,,,,,,,,HS,"Redlands East Valley HS (Redlands, CA)",2
2010,2s,,69,19,Y,"$600,000",*Kellen Sweeney (minors),3B,,,,,,,,,,,,,HS,"Jefferson HS (Cedar Rapids, IA)",2
2010,2,,80,30,Y,"$615,000",*Justin Nicolino (minors),LHP,-0.7,50.0,58.0,0.0,0.052,0.12,50.0,10.0,13.0,4.65,1.46,0.0,HS,"University HS (Orlando, FL)",2
2009,2,,68,19,N,,Jake Eliopoulos (minors),LHP,,,,,,,,,,,,,HS,"Sacred Heart Catholic HS (LaSalle, ON)",2
2008,2,,63,17,Y,"$644,000",Kenny Wilson (minors),OF,,,,,,,,,,,,,HS,"Walter L. Sickles HS (Tampa, FL)",2
2007,2,,85,21,Y,"$391,500",John Tolisano (minors),2B,,,,,,,,,,,,,HS,"Estero HS (Estero, FL)",2
2007,2,,88,24,Y,"$384,750",*Eric Eiland (minors),OF,,,,,,,,,,,,,HS,"Mirabeau B. Lamar HS (Houston, TX)",2
2004,2,,57,16,Y,"$625,000",Curtis Thigpen (minors),C,-0.3,57.0,118.0,1.0,0.229,0.586,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)",2
2003,2,,50,13,Y,"$650,000",Josh Banks (minors),RHP,-0.9,23.0,27.0,0.0,0.111,0.337,27.0,4.0,8.0,5.66,1.55,0.0,4Yr,"Florida International University (Miami, FL)",2
2002,2,,55,14,Y,"$450,000",Dave Bush (minors),RHP,3.6,157.0,263.0,0.0,0.129,0.32,211.0,56.0,69.0,4.73,1.31,0.0,4Yr,"Wake Forest University (Winston-Salem, NC)",2
