Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1965,1,,15,15.0,Y,"$30,000",Scott McDonald (minors),RHP,,,,,,,,,,,,,HS,"Marquette HS (Yakima, WA)",1
2023,2,,53,14.0,Y,"$1,400,000",Mac Horvath (minors),OF,,,,,,,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",2
2023,2,,63,24.0,Y,"$1,605,100",Jackson Baumeister (minors),P,,,,,,,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",2
2022,2,,42,3.0,Y,"$1,900,000",Max Wagner (minors),3B,,,,,,,,,,,,,4Yr,"Clemson University (Clemson, SC)",2
2022,2,,67,28.0,Y,"$1,026,800",Jud Fabian (minors),OF,,,,,,,,,,,,,4Yr,"University of Florida (Gainesville, FL)",2
2021,2,,41,5.0,Y,"$1,700,000",Connor Norby (minors),2B,,,,,,,,,,,,,4Yr,"East Carolina University (Greenville, NC)",2
2021,2,,65,29.0,Y,"$800,000",Reed Trimble (minors),OF,,,,,,,,,,,,,4Yr,"University of Southern Mississippi (Hattiesburg, MS)",2
2020,2,,39,2.0,Y,"$1,906,800",Hudson Haskin (minors),OF,,,,,,,,,,,,,4Yr,"Tulane University (New Orleans, LA)",2
2019,2,,42,1.0,Y,"$2,300,000",Gunnar Henderson (minors),SS,7.1,184.0,676.0,32.0,0.256,0.81,,,,,,,HS,"John T. Morgan Academy (Selma, AL)",2
2019,2,,71,30.0,Y,"$884,200",Kyle Stowers (minors),CF,-0.5,48.0,121.0,3.0,0.207,0.598,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",2
2017,2,,60,24.0,Y,"$1,300,000",Adam Hall (minors),SS,,,,,,,,,,,,,HS,"A B Lucas Secondary School (London, ON)",2
2017,2,,74,38.0,Y,"$779,500",Zac Lowther (minors),LHP,-0.5,0.0,0.0,0.0,,,11.0,1.0,3.0,6.94,1.69,0.0,4Yr,"Xavier University (Cincinnati, OH)",2
2016,2,,54,13.0,Y,"$1,177,200",Keegan Akin (minors),LHP,-0.1,2.0,2.0,0.0,0.0,0.0,101.0,8.0,17.0,5.18,1.41,2.0,4Yr,"Western Michigan University (Kalamazoo, MI)",2
2016,2,,69,28.0,Y,"$1,300,000",Matthias Dietz (minors),RHP,,,,,,,,,,,,,JC,"John A. Logan College (Carterville, IL)",2
2015,2,,68,26.0,N,,Jonathan Hughes (minors),RHP,,,,,,,,,,,,,HS,"Flowery Branch HS (Flowery Branch, GA)",2
2013,2,,61,22.0,Y,"$785,000",Chance Sisco (minors),C,0.0,196.0,517.0,16.0,0.197,0.654,,,,,,,HS,"Santiago HS (Corona, CA)",2
2012,2,,65,5.0,Y,"$793,700",Branden Kline (minors),RHP,0.1,3.0,0.0,0.0,,,37.0,1.0,4.0,5.48,1.48,0.0,4Yr,"University of Virginia (Charlottesville, VA)",2
2011,2,,64,4.0,Y,"$600,000",Jason Esposito (minors),3B,,,,,,,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",2
2009,2,,54,5.0,Y,"$800,000",Mychal Givens (minors),SS,8.4,73.0,2.0,0.0,0.0,0.0,425.0,32.0,24.0,3.47,1.2,31.0,HS,"H. B. Plant HS (Tampa, FL)",2
2008,2,,50,4.0,Y,"$900,000",Xavier Avery (minors),OF,-0.3,32.0,94.0,1.0,0.223,0.645,,,,,,,HS,"Cedar Grove HS (Ellenwood, GA)",2
2006,2,,58,14.0,Y,"$675,000",*Ryan Adams (minors),3B,-0.4,29.0,89.0,0.0,0.281,0.659,,,,,,,HS,"Jesuit HS (New Orleans, LA)",2
2005,2,,61,13.0,Y,"$590,000",Nolan Reimold (minors),OF,2.8,480.0,1378.0,56.0,0.246,0.745,,,,,,,4Yr,"Bowling Green State University (Bowling Green, OH)",2
2003,2,,44,7.0,Y,"$750,000",Brian Finch (minors),RHP,,,,,,,,,,,,,4Yr,"Texas A&M University (College Station, TX)",2
2002,2,,45,4.0,Y,"$800,000",Corey Shafer (minors),OF,,,,,,,,,,,,,HS,"Choctaw HS (Choctaw, OK)",2
1998,2,,51,8.0,Y,"$575,000",*Ben Knapp (minors),RHP,,,,,,,,,,,,,HS,"Oviedo HS (Oviedo, FL)",2
1998,2,,69,26.0,N,,Alex Hart (minors),RHP,,,,,,,,,,,,,HS,"Chambersburg HS (Chambersburg, PA)",2
1997,2,,73,21.0,Y,,Sean Douglass (minors),RHP,-1.3,2.0,2.0,0.0,0.0,0.0,54.0,7.0,13.0,6.11,1.61,0.0,HS,"Antelope Valley HS (Lancaster, CA)",2
1996,2,,51,16.0,Y,,Brian Falkenborg (minors),RHP,-0.8,62.0,5.0,0.0,0.0,0.167,64.0,3.0,5.0,5.59,1.68,0.0,HS,"Redmond HS (Redmond, WA)",2
1995,2,,51,21.0,Y,,Chip Alley (minors),C,,,,,,,,,,,,,HS,"Palm Beach Lakes HS (West Palm Beach, FL)",2
1994,2,,54,20.0,Y,,Tommy Davis (minors),1B,-0.1,5.0,6.0,0.0,0.167,0.333,,,,,,,4Yr,"University of Southern Mississippi (Hattiesburg, MS)",2
1993,2,,61,19.0,Y,,David Lamb (minors),SS,-1.0,69.0,139.0,1.0,0.216,0.561,,,,,,,HS,"Newbury Park HS (Thousand Oaks, CA)",2
1992,2,,42,4.0,Y,,Brian Sackinsky (minors),RHP,0.1,0.0,0.0,0.0,,,3.0,0.0,0.0,3.86,1.93,0.0,4Yr,"Stanford University (Palo Alto, CA)",2
1991,2,,53,9.0,Y,,Shawn Curran (minors),C,,,,,,,,,,,,,HS,"Corona HS (Corona, CA)",2
1990,2,,60,20.0,Y,,Erik Schullstrom (minors),RHP,-0.3,0.0,0.0,0.0,,,46.0,0.0,0.0,6.0,1.77,1.0,4Yr,"California State University, Fresno (Fresno, CA)",2
