Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2001,2,,51,7.0,Y,"$750,000",*Jake Dittler (minors),RHP,,,,,,,,,,,,,HS,"Green Valley HS (Henderson, NV)",2
2000,2,,55,15.0,Y,"$595,000",*Brian Tallet (minors),LHP,0.3,32.0,5.0,0.0,0.0,0.0,242.0,16.0,25.0,4.79,1.46,0.0,4Yr,"Louisiana State University (Baton Rouge, LA)",2
2000,2,,66,26.0,Y,"$700,000",Mark Folsom (minors),OF,,,,,,,,,,,,,HS,"West Orange HS (Winter Garden, FL)",2
1999,2,,74,23.0,Y,"$725,000",Will Hartley (minors),C,,,,,,,,,,,,,HS,"Bradford County HS (Starke, FL)",2
1998,2,,63,20.0,Y,"$450,000",Zach Sorensen (minors),SS,-0.4,48.0,49.0,1.0,0.143,0.495,,,,,,,4Yr,"Wichita State University (Wichita, KS)",2
1997,2,,67,15.0,Y,,*Edgar Cruz (minors),C,,,,,,,,,,,,,HS,"Vocational Tech HS (Juncos, Puerto Rico)",2
1997,2,,79,27.0,Y,,Rob Vael (minors),RHP,,,,,,,,,,,,,JC,"Utah State University Eastern (Price, UT)",2
1996,2,,63,28.0,Y,,Ryan McDermott (minors),RHP,,,,,,,,,,,,,HS,"Alamogordo HS (Alamogordo, NM)",2
1995,2,,53,23.0,Y,,Sean Casey (minors),1B,16.5,1405.0,5066.0,130.0,0.302,0.814,,,,,,,4Yr,"University of Richmond (Richmond, VA)",2
1993,2,,53,11.0,Y,,Casey Whitten (minors),LHP,,,,,,,,,,,,,4Yr,"Indiana State University (Terre Haute, IN)",2
1992,2,,40,2.0,Y,,Mike Matthews (minors),LHP,0.6,219.0,25.0,1.0,0.12,0.36,230.0,14.0,10.0,4.54,1.47,1.0,JC,"Montgomery College, Rockville Campus (Rockville, MD)",2
1991,2,,57,13.0,Y,,Herbert Perry (minors),3B,5.1,529.0,1696.0,55.0,0.272,0.771,,,,,,,4Yr,"University of Florida (Gainesville, FL)",2
1990,2,,46,6.0,Y,,*Darrell Whitmore (minors),OF,-1.8,112.0,330.0,5.0,0.203,0.548,,,,,,,4Yr,"West Virginia University (Morgantown, WV)",2
1990,2,,48,8.0,Y,,Pat Bryant (minors),OF,,,,,,,,,,,,,HS,"Grover Cleveland HS (Reseda, CA)",2
1988,2,,32,2.0,Y,,Brian Johnson (minors),C,,,,,,,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)",2
1987,2,,47,15.0,Y,,Albert Belle (minors),OF,40.1,1539.0,5853.0,381.0,0.295,0.933,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",2
1986,2,,30,2.0,Y,,Kevin Wickander (minors),LHP,1.5,33.0,2.0,0.0,0.0,0.0,150.0,5.0,1.0,4.02,1.7,2.0,4Yr,"Grand Canyon University (Phoenix, AZ)",2
1985,2,,37,9.0,Y,,Andy Ghelfi (minors),RHP,,,,,,,,,,,,,4Yr,"Indiana State University (Terre Haute, IN)",2
