Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2019,2,,69,28.0,Y,"$1,100,000",Matthew Lugo (minors),SS,,,,,,,,,,,,,HS,"Carlos Beltran Baseball Academy (Florida, Puerto Rico)",2
2018,2,,64,21.0,Y,"$1,250,000",Nick Decker (minors),OF,,,,,,,,,,,,,HS,"Seneca HS (Tabernacle, NJ)",2
2017,2,,63,27.0,Y,"$1,300,000",Cole Brannen (minors),OF,,,,,,,,,,,,,HS,"The Westfield School (Perry, GA)",2
2016,2,,51,10.0,Y,"$1,100,000",C.J. Chatham (minors),SS,,,,,,,,,,,,,4Yr,"Florida Atlantic University (Boca Raton, FL)",2
2014,2,,67,26.0,Y,"$846,800",Sam Travis (minors),1B,-1.1,111.0,256.0,7.0,0.231,0.659,,,,,,,4Yr,"Indiana University Bloomington (Bloomington, IN)",2
2013,2,,45,6.0,Y,"$915,000",Teddy Stankiewicz (minors),RHP,,,,,,,,,,,,,JC,"Seminole State College (Seminole, OK)",2
2012,2,,87,27.0,Y,"$600,000",Jamie Callahan (minors),RHP,0.0,8.0,0.0,0.0,,,9.0,0.0,0.0,4.05,1.2,0.0,HS,"Dillon HS (Dillon, SC)",2
2011,2,,81,21.0,Y,"$443,700",Williams Jerez (minors),CF,-0.4,14.0,0.0,0.0,,,29.0,1.0,0.0,5.33,1.82,0.0,HS,"Grand Street Campus (Brooklyn, NY)",2
2010,2,,57,7.0,Y,"$800,000",*Brandon Workman (minors),RHP,2.6,27.0,3.0,0.0,0.0,0.0,238.0,26.0,22.0,4.02,1.39,25.0,4Yr,"University of Texas at Austin (Austin, TX)",2
2009,2,,77,28.0,Y,"$470,700",Alex Wilson (minors),RHP,5.4,31.0,0.0,0.0,,,303.0,14.0,14.0,3.44,1.22,5.0,4Yr,"Texas A&M University (College Station, TX)",2
2008,2,,77,31.0,Y,"$600,000",Derrik Gibson (minors),SS,,,,,,,,,,,,,HS,"Seaford HS (Seaford, DE)",2
2007,2,,84,20.0,N,,Hunter Morris (minors),1B,,,,,,,,,,,,,HS,"Grissom HS (Huntsville, AL)",2
2006,2,,71,27.0,Y,"$510,000",Justin Masterson (minors),RHP,10.1,23.0,33.0,0.0,0.212,0.424,258.0,64.0,74.0,4.31,1.4,0.0,4Yr,"San Diego State University (San Diego, CA)",2
2005,2,,57,9.0,Y,"$625,000",*Jonathan Egan (minors),C,,,,,,,,,,,,,HS,"Cross Creek HS (Cross Creek, GA)",2
2004,2,,65,24.0,Y,"$575,000",Dustin Pedroia (minors),SS,51.9,1512.0,6031.0,140.0,0.299,0.805,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",2
2003,2,,49,12.0,Y,"$700,000",*Abe Alvarez (minors),LHP,-0.4,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,11.32,2.52,0.0,4Yr,"California State University, San Bernardino (San Bernardino, CA)",2
2003,2,,54,17.0,Y,"$800,000",Mickey Hall (minors),OF,,,,,,,,,,,,,HS,"Walton HS (Marietta, GA)",2
2002,2,,57,16.0,Y,"$1,000,000",Jon Lester (minors),LHP,43.5,192.0,366.0,4.0,0.115,0.337,452.0,200.0,117.0,3.66,1.28,0.0,HS,"Bellarmine Preparatory School (Tacoma, WA)",2
2001,2,,48,4.0,Y,"$737,500",*Kelly Shoppach (minors),C,8.3,572.0,1616.0,70.0,0.223,0.725,,,,,,,4Yr,"Baylor University (Waco, TX)",2
2001,2,,61,17.0,N,,Matt Chico (minors),LHP,0.6,41.0,63.0,0.0,0.159,0.317,43.0,7.0,15.0,4.95,1.56,0.0,HS,"Fallbrook Union HS (Fallbrook, CA)",2
2000,2,,62,22.0,Y,"$700,000",Manny Delcarmen (minors),RHP,3.8,27.0,1.0,0.0,0.0,0.0,298.0,11.0,8.0,3.97,1.38,3.0,HS,"West Roxbury HS (West Roxbury, MA)",2
