Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2018,2,,46,3.0,Y,"$2,000,000",Steele Walker (minors),OF,-0.2,5.0,14.0,1.0,0.071,0.473,,,,,,,4Yr,"University of Oklahoma (Norman, OK)",2
2017,2,,49,13.0,Y,"$2,000,000",Gavin Sheets (minors),1B,-1.8,296.0,848.0,36.0,0.229,0.69,,,,,,,4Yr,"Wake Forest University (Winston-Salem, NC)",2
2016,2,,49,8.0,Y,"$1,200,000",Alec Hansen (minors),RHP,,,,,,,,,,,,,4Yr,"University of Oklahoma (Norman, OK)",2
2014,2,,44,3.0,Y,"$1,282,700",Spencer Adams (minors),RHP,,,,,,,,,,,,,HS,"White County HS (Cleveland, GA)",2
2013,2,,55,16.0,Y,"$1,001,800",Tyler Danish (minors),RHP,-0.1,0.0,0.0,0.0,,,43.0,5.0,1.0,5.06,1.54,0.0,HS,"Durant HS (Plant City, FL)",2
2012,2,,76,16.0,Y,"$600,000",Chris Beck (minors),RHP,-1.1,17.0,2.0,0.0,0.0,0.0,103.0,4.0,4.0,5.88,1.72,1.0,4Yr,"Georgia Southern University (Statesboro, GA)",2
2011,2,,80,20.0,Y,"$450,000",Erik Johnson (minors),RHP,-0.4,4.0,7.0,0.0,0.0,0.0,22.0,7.0,10.0,5.28,1.62,0.0,4Yr,"University of California, Berkeley (Berkeley, CA)",2
2010,2,,63,13.0,Y,"$540,000",Jake Petricka (minors),RHP,1.8,23.0,1.0,0.0,0.0,0.0,235.0,10.0,13.0,4.24,1.54,16.0,4Yr,"Indiana State University (Terre Haute, IN)",2
2009,2,,61,12.0,Y,"$625,000",*Trayce Thompson (minors),CF,2.6,369.0,935.0,45.0,0.212,0.711,,,,,,,HS,"Santa Margarita Catholic HS (Rancho Santa Margarita, CA)",2
2009,2,,71,22.0,Y,"$514,000",David Holmberg (minors),LHP,-1.0,18.0,14.0,0.0,0.071,0.307,51.0,5.0,10.0,5.49,1.68,0.0,HS,"Port Charlotte HS (Port Charlotte, FL)",2
2007,2,,89,25.0,Y,"$382,500",Nevin Griffith (minors),RHP,,,,,,,,,,,,,HS,"Middleton HS (Tampa, FL)",2
2006,2,,73,29.0,Y,"$330,000",Matt Long (minors),RHP,,,,,,,,,,,,,4Yr,"Miami University of Ohio (Oxford, OH)",2
2004,2,,53,12.0,Y,"$660,000",*Wes Whisler (minors),lHP,-0.1,0.0,0.0,0.0,,,3.0,0.0,0.0,13.5,2.25,0.0,4Yr,"University of California, Los Angeles (Los Angeles, CA)",2
2004,2,,59,18.0,Y,"$525,000",Donny Lucy (minors),C,0.1,21.0,40.0,1.0,0.25,0.743,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",2
2004,2,,69,28.0,Y,"$499,000",*Ray Liotta (minors),lHP,,,,,,,,,,,,,JC,"Gulf Coast State College (Panama City, FL)",2
2003,2,,52,15.0,Y,"$785,000",Ryan Sweeney (minors),OF,6.9,682.0,2118.0,23.0,0.276,0.713,,,,,,,HS,"Xavier HS (Cedar Rapids, IA)",2
2002,2,,59,18.0,Y,"$650,000",Jeremy Reed (minors),OF,2.1,483.0,1250.0,12.0,0.252,0.663,,,,,,,4Yr,"California State University, Long Beach (Long Beach, CA)",2
2001,2,,71,27.0,Y,"$575,000",Ryan Wing (minors),LHP,,,,,,,,,,,,,JC,"Riverside City College (Riverside, CA)",2
2000,2,,52,12.0,Y,"$645,000",Tim Hummel (minors),SS,-1.3,82.0,194.0,3.0,0.222,0.599,,,,,,,4Yr,"Old Dominion University (Norfolk, VA)",2
